model,seed,window_id,dropped_feature,original_reward,ablated_reward,delta_reward,original_sharpe,ablated_sharpe,delta_sharpe
ppo_bayeslvr_gated,29,0,ci90_lvr_width,5216.0573140605475,4966.057314282085,-249.99999977846255,13.658256150676106,12.537271810676987,-1.1209843399991186
ppo_bayeslvr_gated,29,1,ci90_lvr_width,518150.63099128107,518150.63099128107,0.0,15.58971325958193,15.58971325958193,0.0
ppo_bayeslvr_gated,7,0,expected_lvr_next,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr_gated,7,1,expected_lvr_next,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,17,0,expected_lvr_next,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr_gated,17,1,expected_lvr_next,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,29,0,expected_lvr_next,5216.0573140605475,5216.0573140605475,0.0,13.658256150676106,13.658256150676106,0.0
ppo_bayeslvr_gated,29,1,expected_lvr_next,518150.63099128107,518150.63099128107,0.0,15.58971325958193,15.58971325958193,0.0
ppo_bayeslvr_gated,7,0,posterior_vol_mean,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr_gated,7,1,posterior_vol_mean,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,17,0,posterior_vol_mean,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr_gated,17,1,posterior_vol_mean,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,29,0,posterior_vol_mean,5216.0573140605475,5216.0573140605475,0.0,13.658256150676106,13.658256150676106,0.0
ppo_bayeslvr_gated,29,1,posterior_vol_mean,518150.63099128107,518150.63099128107,0.0,15.58971325958193,15.58971325958193,0.0
ppo_bayeslvr_gated,7,0,posterior_vol_var,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr_gated,7,1,posterior_vol_var,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,17,0,posterior_vol_var,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr_gated,17,1,posterior_vol_var,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,29,0,posterior_vol_var,5216.0573140605475,5216.0573140605475,0.0,13.658256150676106,13.658256150676106,0.0
ppo_bayeslvr_gated,29,1,posterior_vol_var,518150.63099128107,518150.63099128107,0.0,15.58971325958193,15.58971325958193,0.0
