model,seed,window_id,run_name,cumulative_reward,reward_median,reward_ci95_low,reward_ci95_high,sharpe_ratio,sharpe_ci95_low,sharpe_ci95_high,total_fees,total_lvr,gas_cost,fees_to_lvr_ratio,corr_lvr_uncertainty_width
ppo_extended_action,7,0,ppo_extended_action_seed7_20260504_000939,3999.9457702203067,-0.14676502440822325,-59.61377405029753,9749.471216498077,4.9067997343410035,-0.8219437140448174,7.725620061729739,5242.115124276195,952.1693540558879,290.0,5.505444070371233,0.4594527653580709
ppo_extended_action,7,1,ppo_extended_action_seed7_20260504_000939,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.5
ppo_extended_action,17,0,ppo_extended_action_seed17_20260504_001024,3292.5177949093877,-4.999994341929828,-700.022847940268,8954.654179785975,8.02667217607248,-17.310587254029443,13.999064937409514,5161.404020529578,813.8862256201897,1055.0,6.341677568749286,0.5
ppo_extended_action,17,1,ppo_extended_action_seed17_20260504_001024,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.5
ppo_extended_action,29,0,ppo_extended_action_seed29_20260504_001109,2295.438000841995,-3.276613199100531,-1676.288127054917,8045.279666686016,2.8241980958387334,-24.963888439068686,6.281818349802308,7456.26401550156,1010.8260146595671,4150.0,7.376406925985903,0.4902057547142143
ppo_extended_action,29,1,ppo_extended_action_seed29_20260504_001109,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.5
ppo_garch_vol,7,0,ppo_garch_vol_seed7_20260504_001422,2666.4630455108904,-4.999943494437131,-1417.465860773834,8113.39450933423,5.07869709498224,-26.213629599499654,9.882789001023118,5200.997854994188,814.5348094832979,1720.0,6.385237063463811,-0.16754766477970134
ppo_garch_vol,7,1,ppo_garch_vol_seed7_20260504_001422,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.10193117997240123
ppo_garch_vol,17,0,ppo_garch_vol_seed17_20260504_001511,36575.7924725043,21.215375154931188,31804.90420688927,40777.523986406326,53.20218805612544,47.99199122703427,60.79158226913347,45803.15360159095,5077.361129086651,4150.0,9.02105492146278,0.22190938747043512
ppo_garch_vol,17,1,ppo_garch_vol_seed17_20260504_001511,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.10193117997240123
ppo_garch_vol,29,0,ppo_garch_vol_seed29_20260504_001600,61638.48847342475,-87.61771745492688,35456.81982930337,87173.18935128942,13.920913823710784,8.766138720009453,18.29505775917281,167281.88083244418,105643.39235901943,0.0,1.5834580573099353,0.12656728475961565
ppo_garch_vol,29,1,ppo_garch_vol_seed29_20260504_001600,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.10193117997240123
