model,seed,window_id,split_type,regime,n_steps,sigma_low,sigma_high,cumulative_reward,avg_step_reward,median_step_reward,sharpe_ratio,width_mean,width_median,width_std,action_distribution
ppo_bayeslvr_gated,17,1,quartile,q4,208,0.011289584285662409,0.020503009953609787,-67149.99954289736,-322.83653626392964,-308.4944191341143,-319.22762104596046,10.0,10.0,0.0,"{""0"": 208}"
ppo_bayeslvr_gated,29,0,median,high,349,0.007209613872952504,0.01560724332873508,6576.541956773499,18.84395976152865,7.42053113480116,25.03749596074007,43.92550143266476,50.0,12.150213487252586,"{""0"": 152, ""10"": 2, ""20"": 12, ""50"": 183}"
ppo_bayeslvr_gated,29,0,median,low,350,0.003904311458280414,0.007195416122041687,-1360.4846427129519,-3.8870989791798625,-4.997972851384029,-90.17171233706789,25.0,20.0,26.063110218961096,"{""0"": 26, ""10"": 135, ""100"": 35, ""20"": 149, ""50"": 5}"
ppo_bayeslvr_gated,29,0,quartile,q1,175,0.003904311458280414,0.005614703855937716,-873.1590347477702,-4.989480198558687,-4.999286568963214,-8672.883678757331,31.37142857142857,20.0,32.76503860980543,"{""10"": 57, ""100"": 32, ""20"": 86}"
ppo_bayeslvr_gated,29,0,quartile,q2,175,0.0056173821225383265,0.007195416122041687,-487.32560796518163,-2.7847177598010378,-4.994127208906881,-47.487527664919966,18.62857142857143,20.0,14.277025929364807,"{""0"": 26, ""10"": 78, ""100"": 3, ""20"": 63, ""50"": 5}"
ppo_bayeslvr_gated,29,0,quartile,q3,174,0.007209613872952504,0.008885130248307328,1595.5517676373645,9.169837745042324,5.337770717055042,66.66772330824513,41.0919540229885,50.0,13.87392508741558,"{""0"": 88, ""10"": 2, ""20"": 7, ""50"": 77}"
ppo_bayeslvr_gated,29,0,quartile,q4,175,0.0088914493549807,0.01560724332873508,4980.990189136135,28.462801080777915,10.347406165060995,27.2665396831519,46.74285714285714,50.0,9.333022346616822,"{""0"": 64, ""20"": 5, ""50"": 106}"
ppo_bayeslvr_gated,29,1,median,high,415,0.00877686518307358,0.020503009953609787,484000.969302276,1166.2673959090987,0.0999191653316247,20.83179650270086,88.79518072289157,100.0,20.849292285896922,"{""0"": 321, ""100"": 1, ""50"": 93}"
ppo_bayeslvr_gated,29,1,median,low,415,0.005260547759978775,0.00877464812492682,34149.66168900513,82.28834141928947,-1.414090915365914,34.480095295732795,88.91566265060241,100.0,20.769071548690594,"{""0"": 323, ""50"": 92}"
ppo_bayeslvr_gated,29,1,quartile,q1,208,0.005260547759978775,0.0076527614776512485,33908.42718473135,163.02128454197765,-1.0728423895737116,51.90254319719665,77.88461538461539,100.0,24.833022250278763,"{""0"": 116, ""50"": 92}"
